TANK,EDITION,DIVISION,CLASS,TOCR,TDCR,TCR,STARS,RARITY,OPERATOR
CA Lorraine,1. Starter,AA,TD,12,12,12,1,VR,Lerulce
Type 62,1. Starter,ED,L,14.5,12.5,13.5,1,C,Jishi
PT-76B,1. Starter,RS,L,19.5,9,14.25,1.5,C,Armatan Union
ASU-85,1. Starter,RS,TD,18,13,15.5,1.5,C,Armatan Union
IS-2,1. Starter,RS,H,12.5,20.5,16.5,1.5,C,Armatan Union
Type 5 Chi-Ri,1. Starter,ED,M,21.5,12.5,17,2,VR,Sakurata
Panther A,1. Starter,AA,M,17.5,16.5,17,2,C,Leoschland
Jagdtiger,1. Starter,AA,TD,13.5,20.5,17,2,R,Leoschland
Type 5 Ho-Ri,1. Starter,ED,TD,13,21,17,2,VR,Sakurata
Type 83 SPH,1. Starter,ED,SPH,22.5,13.5,18,2,UC,Jishi
2S3M Akatsiya,1. Starter,RS,SPH,26.5,11.5,19,2,C,Armatan Union
AMX M4,1. Starter,AA,M,20,18.5,19.25,2,VR,Lerulce
Type 61,1. Starter,ED,MBT,22.5,16.5,19.5,2,UC,Sakurata
Tiger II,1. Starter,AA,H,19,20,19.5,2,UC,Leoschland
T-54,1. Starter,RS,M,19.5,20.5,20,2.5,C,Armatan Union
BT-7,???,RS,L,11.5,6.5,9,0.5,C,Armatan Union
SU-122P,Red Star Exp,RS,TD,8,12,10,0.5,VR,Armatan Union
SU-85M,Red Star Exp,RS,TD,11,11,11,0.5,UC,Armatan Union
Type 63,Eclipse Dragon Exp,ED,L,14,9,11.5,1,C,Jishi
M18 Hellcat,Iron Zephyr Exp,IZ,L,16,7,11.5,1,C,Heurican Federation
SU-100,Red Star Exp,RS,TD,12,12,12,1,C,Armatan Union
SU-100P,Red Star Exp,RS,TD,15.25,9.25,12.25,1,VR,Armatan Union
ISU-122S,Red Star Exp,RS,TD,12,13,12.5,1,UC,Armatan Union
Semovente 75/46 M43,Aureate Aegis Exp,AA,TD,13,12,12.5,1,R,Iretos
Type 4 Chi-To,Patreon,ED,M,14.5,11.5,13,1,VR,Sakurata
T-34-85,Patreon,RS,M,14.5,12.5,13.5,1,C,Armatan Union
P26/40,Patreon,AA,M,14.5,12.5,13.5,1,UC,Iretos
Panzer IV H,Patreon,AA,M,15.5,11.5,13.5,1,C,Leoschland
AMX-13,Patreon,AA,L,16,11.5,13.75,1,C,Lerulce
Churchill Mk VII,???,FT,H,12,16,14,1.5,C,Kingdom of Chalwick
A34 Comet I,1. Starter,FT,M,14.5,13.5,14,1.5,C,Kingdom of Chalwick
Pvkv m/43,Frost Titan Exp,FT,TD,17,11,14,1.5,R,Vritsda
M36B1,Patreon,IZ,TD,19,9.5,14.25,1.5,UC,Heurican Federation
Type 58,Patreon,ED,M,16.5,12.5,14.5,1.5,UC,Jishi
ARL-44,Patreon,AA,H,13.5,15.5,14.5,1.5,R,Lerulce
ISU-152M,Red Star Exp,RS,TD,17,12,14.5,1.5,C,Armatan Union
AMX-13-90,Aureate Aegis Exp,AA,L,18,11.5,14.75,1.5,UC,Lerulce
2S1 Gvozdika,Red Star Exp,RS,SPH,20.5,9.5,15,1.5,C,Armatan Union
IS-1,Red Star Exp,RS,H,13.5,16.5,15,1.5,UC,Armatan Union
T-44,Red Star Exp,RS,M,14.5,15.5,15,1.5,C,Armatan Union
Challenger,Frost Titan Exp,FT,M,17,13.5,15.25,1.5,UC,Kingdom of Chalwick
BTR-80A,IFV Exp,RS,IFV,19.5,11,15.25,1.5,C,Armatan Union
M41 Walker Bulldog,1. Starter,IZ,L,20,11,15.5,1.5,C,Heurican Federation
FV4101 Charioteer Mk 7,Patreon,FT,M,16.5,14.5,15.5,1.5,UC,Kingdom of Chalwick
Strv 74,1. Starter,FT,L,19.5,12.5,16,1.5,UC,Vritsda
Sherman Firefly,Frost Titan Exp,FT,M,18.5,13.5,16,1.5,C,Kingdom of Chalwick
M4A2 (76) W,Patreon,IZ,M,19.5,12.5,16,1.5,C,Heurican Federation
M4A3 (76) W,Patreon,IZ,M,19.5,12.5,16,1.5,C,Heurican Federation
